arm,source,destination,cost,feasible,reason,retract_cost,transfer_cost,insert_cost
fr3,home,home,0.0,True,identity,0.0,0.0,0.0
fr3,home,target_top_1,3.989,True,ok,0.0,2.918,1.071
fr3,home,target_top_2,2.896,True,ok,0.0,2.152,0.744
fr3,home,target_front_1,inf,False,dest_posture_infeasible,inf,inf,inf
fr3,home,target_front_2,inf,False,dest_posture_infeasible,inf,inf,inf
fr3,home,target_back_1,3.842,True,ok,0.0,2.876,0.966
fr3,home,target_left_1,3.269,True,ok,0.0,2.702,0.567
fr3,home,target_right_1,3.269,True,ok,0.0,2.702,0.567
fr3,target_top_1,home,3.989,True,ok,1.071,2.918,0.0
fr3,target_top_1,target_top_1,inf,False,self_loop_blocked,inf,inf,inf
fr3,target_top_1,target_top_2,2.72,True,ok,1.071,0.905,0.744
fr3,target_top_1,target_front_1,inf,False,dest_posture_infeasible,inf,inf,inf
fr3,target_top_1,target_front_2,inf,False,dest_posture_infeasible,inf,inf,inf
fr3,target_top_1,target_back_1,6.493,True,ok,1.071,4.457,0.966
fr3,target_top_1,target_left_1,5.69,True,ok,1.071,4.053,0.567
fr3,target_top_1,target_right_1,4.433,True,ok,1.071,2.796,0.567
fr3,target_top_2,home,2.896,True,ok,0.744,2.152,0.0
fr3,target_top_2,target_top_1,2.72,True,ok,0.744,0.905,1.071
fr3,target_top_2,target_top_2,inf,False,self_loop_blocked,inf,inf,inf
fr3,target_top_2,target_front_1,inf,False,dest_posture_infeasible,inf,inf,inf
fr3,target_top_2,target_front_2,inf,False,dest_posture_infeasible,inf,inf,inf
fr3,target_top_2,target_back_1,5.441,True,ok,0.744,3.731,0.966
fr3,target_top_2,target_left_1,4.927,True,ok,0.744,3.616,0.567
fr3,target_top_2,target_right_1,3.733,True,ok,0.744,2.423,0.567
fr3,target_front_1,home,inf,False,source_posture_infeasible,inf,inf,inf
fr3,target_front_1,target_top_1,inf,False,source_posture_infeasible,inf,inf,inf
fr3,target_front_1,target_top_2,inf,False,source_posture_infeasible,inf,inf,inf
fr3,target_front_1,target_front_1,inf,False,self_loop_blocked,inf,inf,inf
fr3,target_front_1,target_front_2,inf,False,dest_posture_infeasible,inf,inf,inf
fr3,target_front_1,target_back_1,inf,False,source_posture_infeasible,inf,inf,inf
fr3,target_front_1,target_left_1,inf,False,source_posture_infeasible,inf,inf,inf
fr3,target_front_1,target_right_1,inf,False,source_posture_infeasible,inf,inf,inf
fr3,target_front_2,home,inf,False,source_posture_infeasible,inf,inf,inf
fr3,target_front_2,target_top_1,inf,False,source_posture_infeasible,inf,inf,inf
fr3,target_front_2,target_top_2,inf,False,source_posture_infeasible,inf,inf,inf
fr3,target_front_2,target_front_1,inf,False,dest_posture_infeasible,inf,inf,inf
fr3,target_front_2,target_front_2,inf,False,self_loop_blocked,inf,inf,inf
fr3,target_front_2,target_back_1,inf,False,source_posture_infeasible,inf,inf,inf
fr3,target_front_2,target_left_1,inf,False,source_posture_infeasible,inf,inf,inf
fr3,target_front_2,target_right_1,inf,False,source_posture_infeasible,inf,inf,inf
fr3,target_back_1,home,3.842,True,ok,0.966,2.876,0.0
fr3,target_back_1,target_top_1,6.493,True,ok,0.966,4.457,1.071
fr3,target_back_1,target_top_2,5.441,True,ok,0.966,3.731,0.744
fr3,target_back_1,target_front_1,inf,False,dest_posture_infeasible,inf,inf,inf
fr3,target_back_1,target_front_2,inf,False,dest_posture_infeasible,inf,inf,inf
fr3,target_back_1,target_back_1,inf,False,self_loop_blocked,inf,inf,inf
fr3,target_back_1,target_left_1,5.908,True,ok,0.966,4.376,0.567
fr3,target_back_1,target_right_1,5.474,True,ok,0.966,3.941,0.567
fr3,target_left_1,home,3.269,True,ok,0.567,2.702,0.0
fr3,target_left_1,target_top_1,5.69,True,ok,0.567,4.053,1.071
fr3,target_left_1,target_top_2,4.927,True,ok,0.567,3.616,0.744
fr3,target_left_1,target_front_1,inf,False,dest_posture_infeasible,inf,inf,inf
fr3,target_left_1,target_front_2,inf,False,dest_posture_infeasible,inf,inf,inf
fr3,target_left_1,target_back_1,5.908,True,ok,0.567,4.376,0.966
fr3,target_left_1,target_left_1,inf,False,self_loop_blocked,inf,inf,inf
fr3,target_left_1,target_right_1,6.274,True,ok,0.567,5.14,0.567
fr3,target_right_1,home,3.269,True,ok,0.567,2.702,0.0
fr3,target_right_1,target_top_1,4.433,True,ok,0.567,2.796,1.071
fr3,target_right_1,target_top_2,3.733,True,ok,0.567,2.423,0.744
fr3,target_right_1,target_front_1,inf,False,dest_posture_infeasible,inf,inf,inf
fr3,target_right_1,target_front_2,inf,False,dest_posture_infeasible,inf,inf,inf
fr3,target_right_1,target_back_1,5.474,True,ok,0.567,3.941,0.966
fr3,target_right_1,target_left_1,6.274,True,ok,0.567,5.14,0.567
fr3,target_right_1,target_right_1,inf,False,self_loop_blocked,inf,inf,inf
