arm,source,destination,cost,feasible,reason,retract_cost,transfer_cost,insert_cost
ur5e,home,home,0.0,True,identity,0.0,0.0,0.0
ur5e,home,target_top_1,4.475,True,ok,0.0,3.725,0.749
ur5e,home,target_top_2,4.614,True,ok,0.0,3.68,0.934
ur5e,home,target_front_1,4.925,True,ok,0.0,3.969,0.956
ur5e,home,target_front_2,5.678,True,ok,0.0,4.412,1.266
ur5e,home,target_back_1,inf,False,dest_posture_infeasible,inf,inf,inf
ur5e,home,target_left_1,3.841,True,ok,0.0,3.405,0.436
ur5e,home,target_right_1,12.857,True,ok,0.0,2.405,10.452
ur5e,target_top_1,home,4.475,True,ok,0.749,3.725,0.0
ur5e,target_top_1,target_top_1,inf,False,self_loop_blocked,inf,inf,inf
ur5e,target_top_1,target_top_2,2.233,True,ok,0.749,0.55,0.934
ur5e,target_top_1,target_front_1,4.942,True,ok,0.749,3.236,0.956
ur5e,target_top_1,target_front_2,5.99,True,ok,0.749,3.975,1.266
ur5e,target_top_1,target_back_1,inf,False,dest_posture_infeasible,inf,inf,inf
ur5e,target_top_1,target_left_1,4.542,True,ok,0.749,3.357,0.436
ur5e,target_top_1,target_right_1,15.906,True,ok,0.749,4.705,10.452
ur5e,target_top_2,home,4.614,True,ok,0.934,3.68,0.0
ur5e,target_top_2,target_top_1,2.233,True,ok,0.934,0.55,0.749
ur5e,target_top_2,target_top_2,inf,False,self_loop_blocked,inf,inf,inf
ur5e,target_top_2,target_front_1,5.498,True,ok,0.934,3.608,0.956
ur5e,target_top_2,target_front_2,6.475,True,ok,0.934,4.275,1.266
ur5e,target_top_2,target_back_1,inf,False,dest_posture_infeasible,inf,inf,inf
ur5e,target_top_2,target_left_1,4.488,True,ok,0.934,3.119,0.436
ur5e,target_top_2,target_right_1,16.049,True,ok,0.934,4.664,10.452
ur5e,target_front_1,home,4.925,True,ok,0.956,3.969,0.0
ur5e,target_front_1,target_top_1,4.942,True,ok,0.956,3.236,0.749
ur5e,target_front_1,target_top_2,5.498,True,ok,0.956,3.608,0.934
ur5e,target_front_1,target_front_1,inf,False,self_loop_blocked,inf,inf,inf
ur5e,target_front_1,target_front_2,3.293,True,ok,0.956,1.071,1.266
ur5e,target_front_1,target_back_1,inf,False,dest_posture_infeasible,inf,inf,inf
ur5e,target_front_1,target_left_1,6.47,True,ok,0.956,5.078,0.436
ur5e,target_front_1,target_right_1,17.067,True,ok,0.956,5.659,10.452
ur5e,target_front_2,home,5.678,True,ok,1.266,4.412,0.0
ur5e,target_front_2,target_top_1,5.99,True,ok,1.266,3.975,0.749
ur5e,target_front_2,target_top_2,6.475,True,ok,1.266,4.275,0.934
ur5e,target_front_2,target_front_1,3.293,True,ok,1.266,1.071,0.956
ur5e,target_front_2,target_front_2,inf,False,self_loop_blocked,inf,inf,inf
ur5e,target_front_2,target_back_1,inf,False,dest_posture_infeasible,inf,inf,inf
ur5e,target_front_2,target_left_1,7.083,True,ok,1.266,5.381,0.436
ur5e,target_front_2,target_right_1,19.048,True,ok,1.266,7.33,10.452
ur5e,target_back_1,home,inf,False,source_posture_infeasible,inf,inf,inf
ur5e,target_back_1,target_top_1,inf,False,source_posture_infeasible,inf,inf,inf
ur5e,target_back_1,target_top_2,inf,False,source_posture_infeasible,inf,inf,inf
ur5e,target_back_1,target_front_1,inf,False,source_posture_infeasible,inf,inf,inf
ur5e,target_back_1,target_front_2,inf,False,source_posture_infeasible,inf,inf,inf
ur5e,target_back_1,target_back_1,inf,False,self_loop_blocked,inf,inf,inf
ur5e,target_back_1,target_left_1,inf,False,source_posture_infeasible,inf,inf,inf
ur5e,target_back_1,target_right_1,inf,False,source_posture_infeasible,inf,inf,inf
ur5e,target_left_1,home,3.841,True,ok,0.436,3.405,0.0
ur5e,target_left_1,target_top_1,4.588,True,ok,0.436,3.402,0.749
ur5e,target_left_1,target_top_2,4.488,True,ok,0.436,3.119,0.934
ur5e,target_left_1,target_front_1,6.488,True,ok,0.436,5.096,0.956
ur5e,target_left_1,target_front_2,7.083,True,ok,0.436,5.381,1.266
ur5e,target_left_1,target_back_1,inf,False,dest_posture_infeasible,inf,inf,inf
ur5e,target_left_1,target_left_1,inf,False,self_loop_blocked,inf,inf,inf
ur5e,target_left_1,target_right_1,16.205,True,ok,0.436,5.317,10.452
ur5e,target_right_1,home,12.897,True,ok,10.452,2.445,0.0
ur5e,target_right_1,target_top_1,15.819,True,ok,10.452,4.618,0.749
ur5e,target_right_1,target_top_2,16.257,True,ok,10.452,4.871,0.934
ur5e,target_right_1,target_front_1,17.458,True,ok,10.452,6.05,0.956
ur5e,target_right_1,target_front_2,21.079,True,ok,10.452,9.361,1.266
ur5e,target_right_1,target_back_1,inf,False,dest_posture_infeasible,inf,inf,inf
ur5e,target_right_1,target_left_1,18.165,True,ok,10.452,7.277,0.436
ur5e,target_right_1,target_right_1,inf,False,self_loop_blocked,inf,inf,inf
